Date,Year,Quarter,Month,Weekday,DayOfYear,Revenue
2011-07-05,2011,3,7,1,186,21368.47
2011-07-06,2011,3,7,2,187,19759.76
2011-07-07,2011,3,7,3,188,22856.58
2011-07-08,2011,3,7,4,189,14615.93
2011-07-09,2011,3,7,5,190,10282.575
2011-07-10,2011,3,7,6,191,5949.22
2011-07-11,2011,3,7,0,192,17883.08
2011-07-12,2011,3,7,1,193,13501.14
2011-07-13,2011,3,7,2,194,17047.13
2011-07-14,2011,3,7,3,195,23739.07
2011-07-15,2011,3,7,4,196,10696.78
2011-07-16,2011,3,7,5,197,13156.795
2011-07-17,2011,3,7,6,198,15616.81
2011-07-18,2011,3,7,0,199,20409.54
2011-07-19,2011,3,7,1,200,35121.54
2011-07-20,2011,3,7,2,201,20008.07
2011-07-21,2011,3,7,3,202,24655.73
2011-07-22,2011,3,7,4,203,13031.880000000001
2011-07-23,2011,3,7,5,204,16320.605000000001
2011-07-24,2011,3,7,6,205,19609.33
2011-07-25,2011,3,7,0,206,18775.41
2011-07-26,2011,3,7,1,207,16436.0
2011-07-27,2011,3,7,2,208,18952.22
2011-07-28,2011,3,7,3,209,27503.47
2011-07-29,2011,3,7,4,210,16733.55
2011-07-30,2011,3,7,5,211,16987.985
2011-07-31,2011,3,7,6,212,17242.42
2011-08-01,2011,3,8,0,213,16972.29
2011-08-02,2011,3,8,1,214,17357.43
2011-08-03,2011,3,8,2,215,23643.24
2011-08-04,2011,3,8,3,216,36081.82
2011-08-05,2011,3,8,4,217,18199.05
2011-08-06,2011,3,8,5,218,12754.27
2011-08-07,2011,3,8,6,219,7309.49
2011-08-08,2011,3,8,0,220,17069.43
2011-08-09,2011,3,8,1,221,19488.17
2011-08-10,2011,3,8,2,222,16245.65
2011-08-11,2011,3,8,3,223,32514.72
2011-08-12,2011,3,8,4,224,14459.57
2011-08-13,2011,3,8,5,225,10078.895
2011-08-14,2011,3,8,6,226,5698.22
2011-08-15,2011,3,8,0,227,16636.9
2011-08-16,2011,3,8,1,228,15822.29
2011-08-17,2011,3,8,2,229,25351.66
2011-08-18,2011,3,8,3,230,33955.91
2011-08-19,2011,3,8,4,231,15632.18
2011-08-20,2011,3,8,5,232,14124.695
2011-08-21,2011,3,8,6,233,12617.21
2011-08-22,2011,3,8,0,234,22702.69
2011-08-23,2011,3,8,1,235,20552.68
2011-08-24,2011,3,8,2,236,26294.78
2011-08-25,2011,3,8,3,237,20763.670000000002
2011-08-26,2011,3,8,4,238,18335.170000000002
2011-08-27,2011,3,8,5,239,14266.300000000001
2011-08-28,2011,3,8,6,240,10197.43
2011-08-29,2011,3,8,0,241,8921.4
2011-08-30,2011,3,8,1,242,7645.37
2011-08-31,2011,3,8,2,243,17857.18
2011-09-01,2011,3,9,3,244,30018.75
2011-09-02,2011,3,9,4,245,18512.01
2011-09-03,2011,3,9,5,246,17395.675
2011-09-04,2011,3,9,6,247,16279.34
2011-09-05,2011,3,9,0,248,27234.89
2011-09-06,2011,3,9,1,249,24748.2
2011-09-07,2011,3,9,2,250,21194.62
2011-09-08,2011,3,9,3,251,21629.74
2011-09-09,2011,3,9,4,252,24422.86
2011-09-10,2011,3,9,5,253,27803.33
2011-09-11,2011,3,9,6,254,31183.8
2011-09-12,2011,3,9,0,255,27024.39
2011-09-13,2011,3,9,1,256,35519.85
2011-09-14,2011,3,9,2,257,20506.69
2011-09-15,2011,3,9,3,258,37098.18
2011-09-16,2011,3,9,4,259,23011.91
2011-09-17,2011,3,9,5,260,19016.285
2011-09-18,2011,3,9,6,261,15020.66
2011-09-19,2011,3,9,0,262,37073.92
2011-09-20,2011,3,9,1,263,28373.62
2011-09-21,2011,3,9,2,264,31930.73
2011-09-22,2011,3,9,3,265,47820.44
2011-09-23,2011,3,9,4,266,29458.45
2011-09-24,2011,3,9,5,267,30083.739999999998
2011-09-25,2011,3,9,6,268,30709.03
2011-09-26,2011,3,9,0,269,24890.69
2011-09-27,2011,3,9,1,270,25316.58
2011-09-28,2011,3,9,2,271,32659.15
2011-09-29,2011,3,9,3,272,41760.24
2011-09-30,2011,3,9,4,273,26629.23
2011-10-01,2011,4,10,5,274,18825.025
2011-10-02,2011,4,10,6,275,11020.82
2011-10-03,2011,4,10,0,276,29512.61
2011-10-04,2011,4,10,1,277,30762.54
2011-10-05,2011,4,10,2,278,45546.5
2011-10-06,2011,4,10,3,279,43072.62
2011-10-07,2011,4,10,4,280,34703.13
2011-10-08,2011,4,10,5,281,22736.355
2011-10-09,2011,4,10,6,282,10769.58
2011-10-10,2011,4,10,0,283,37081.27
2011-10-11,2011,4,10,1,284,34649.88
2011-10-12,2011,4,10,2,285,27332.15
2011-10-13,2011,4,10,3,286,30265.670000000002
2011-10-14,2011,4,10,4,287,28109.72
2011-10-15,2011,4,10,5,288,23688.43
2011-10-16,2011,4,10,6,289,19267.14
2011-10-17,2011,4,10,0,290,37187.67
2011-10-18,2011,4,10,1,291,33851.71
2011-10-19,2011,4,10,2,292,28900.9
2011-10-20,2011,4,10,3,293,43925.82
2011-10-21,2011,4,10,4,294,24641.24
2011-10-22,2011,4,10,5,295,18395.68
2011-10-23,2011,4,10,6,296,12150.12
2011-10-24,2011,4,10,0,297,28446.19
2011-10-25,2011,4,10,1,298,31565.68
2011-10-26,2011,4,10,2,299,26133.23
2011-10-27,2011,4,10,3,300,38160.44
2011-10-28,2011,4,10,4,301,26652.35
2011-10-29,2011,4,10,5,302,30241.12
2011-10-30,2011,4,10,6,303,33829.89
2011-10-31,2011,4,10,0,304,29214.49
2011-11-01,2011,4,11,1,305,26796.3
2011-11-02,2011,4,11,2,306,32105.49
2011-11-03,2011,4,11,3,307,32609.73
2011-11-04,2011,4,11,4,308,37557.44
2011-11-05,2011,4,11,5,309,39575.44
2011-11-06,2011,4,11,6,310,41593.44
2011-11-07,2011,4,11,0,311,26744.95
2011-11-08,2011,4,11,1,312,36403.72
2011-11-09,2011,4,11,2,313,44511.82
2011-11-10,2011,4,11,3,314,56079.1
2011-11-11,2011,4,11,4,315,35399.39
2011-11-12,2011,4,11,5,316,31491.845
2011-11-13,2011,4,11,6,317,27584.3
2011-11-14,2011,4,11,0,318,45896.83
2011-11-15,2011,4,11,1,319,35901.12
2011-11-16,2011,4,11,2,320,42869.2
2011-11-17,2011,4,11,3,321,48879.19
2011-11-18,2011,4,11,4,322,33131.58
2011-11-19,2011,4,11,5,323,30915.765
2011-11-20,2011,4,11,6,324,28699.95
2011-11-21,2011,4,11,0,325,33324.96
2011-11-22,2011,4,11,1,326,39782.71
2011-11-23,2011,4,11,2,327,57240.97
2011-11-24,2011,4,11,3,328,35486.37
2011-11-25,2011,4,11,4,329,22974.3
2011-11-26,2011,4,11,5,330,19790.22
2011-11-27,2011,4,11,6,331,16606.14
2011-11-28,2011,4,11,0,332,41341.72
2011-11-29,2011,4,11,1,333,37135.22
2011-11-30,2011,4,11,2,334,40139.46
2011-12-01,2011,4,12,3,335,39203.05
2011-12-02,2011,4,12,4,336,32928.9
2011-12-03,2011,4,12,5,337,26203.85
2011-12-04,2011,4,12,6,338,19478.8
2011-12-05,2011,4,12,0,339,47895.03
2011-12-06,2011,4,12,1,340,33965.35
2011-12-07,2011,4,12,2,341,43644.53
2011-12-08,2011,4,12,3,342,33579.4
2011-12-09,2011,4,12,4,343,13805.03
